Region,Country,Total Cases
Asia,India,"45,035,393"
Asia,S. Korea,"34,571,873"
Asia,Japan,"33,803,572"
Asia,Turkey,"17,232,066"
Asia,Vietnam,"11,625,195"
Asia,Taiwan,"10,241,523"
Asia,Iran,"7,627,186"
Asia,Indonesia,"6,829,221"
Asia,Malaysia,"5,278,406"
Asia,Israel,"4,841,772"
Asia,DPRK,"4,772,813"
Asia,Thailand,"4,770,149"
Asia,Philippines,"4,140,383"
Asia,Singapore,"3,006,155"
Asia,Hong Kong,"2,937,609"
Asia,Iraq,"2,465,545"
Asia,Bangladesh,"2,049,377"
Asia,Georgia,"1,861,665"
Asia,Jordan,"1,746,997"
Asia,Pakistan,"1,581,936"
Europe,France,"40,138,560"
Europe,Germany,"38,828,995"
Europe,Italy,"26,723,249"
Europe,UK,"24,910,387"
Europe,Russia,"24,124,215"
Europe,Spain,"13,914,811"
Europe,Netherlands,"8,635,786"
Europe,Poland,"6,661,991"
Europe,Greece,"6,101,379"
Europe,Austria,"6,081,287"
Europe,Portugal,"5,643,062"
Europe,Ukraine,"5,557,995"
Europe,Belgium,"4,861,695"
Europe,Czechia,"4,759,041"
Europe,Switzerland,"4,453,053"
Europe,Romania,"3,529,735"
Europe,Denmark,"3,183,756"
Europe,Sweden,"2,754,129"
Europe,Serbia,"2,615,054"
Europe,Hungary,"2,230,232"
