region,date,total_deaths
Asia,31/1/2020,0
Asia,30/6/2020,703
Asia,31/1/2021,2400
Asia,30/6/2021,4650
Asia,31/1/2022,7407
Asia,30/6/2022,7717
Asia,31/1/2023,7866
Asia,30/6/2023,7928
Asia,31/1/2024,7981
Asia,30/6/2024,7998
Europe,31/1/2020,0
Europe,30/6/2020,51
Europe,31/1/2021,1358
Europe,30/6/2021,2455
Europe,31/1/2022,3334
Europe,30/6/2022,3497
Europe,31/1/2023,3596
Europe,30/6/2023,3604
Europe,31/1/2024,3605
Europe,30/6/2024,3605
Europe,31/1/2020,0
Europe,30/6/2020,52
Europe,31/1/2021,101
Europe,30/6/2021,127
Europe,31/1/2022,145
Europe,30/6/2022,153
Europe,31/1/2023,159
Europe,30/6/2023,159
Europe,31/1/2024,159
Europe,30/6/2024,159
Asia,31/1/2020,0
Asia,30/6/2020,426
Asia,31/1/2021,3080
Asia,30/6/2021,4508
Asia,31/1/2022,8046
Asia,30/6/2022,8625
Asia,31/1/2023,8713
Asia,30/6/2023,8751
Asia,31/1/2024,8775
Asia,30/6/2024,8777
Europe,31/1/2020,0
Europe,30/6/2020,719
Europe,31/1/2021,9278
Europe,30/6/2021,12940
Europe,31/1/2022,17079
Europe,30/6/2022,19970
Europe,31/1/2023,21858
Europe,30/6/2023,22534
Europe,31/1/2024,22534
Europe,30/6/2024,22534
Asia,31/1/2020,0
Asia,30/6/2020,187
Asia,31/1/2021,3119
Asia,30/6/2021,4967
Asia,31/1/2022,8700
Asia,30/6/2022,9717
Asia,31/1/2023,10081
Asia,30/6/2023,10281
Asia,31/1/2024,10353
Asia,30/6/2024,10353
Asia,31/1/2020,0
Asia,30/6/2020,78
Asia,31/1/2021,372
Asia,30/6/2021,1341
Asia,31/1/2022,1404
Asia,30/6/2022,1492
Asia,31/1/2023,1536
Asia,30/6/2023,1536
Asia,31/1/2024,1536
Asia,30/6/2024,1536
Asia,31/1/2020,0
Asia,30/6/2020,1738
Asia,31/1/2021,8127
Asia,30/6/2021,14172
Asia,31/1/2022,28363
Asia,30/6/2022,29140
Asia,31/1/2023,29442
Asia,30/6/2023,29461
Asia,31/1/2024,29481
Asia,30/6/2024,29498
Europe,31/1/2020,0
Europe,30/6/2020,377
Europe,31/1/2021,1708
Europe,30/6/2021,3103
Europe,31/1/2022,6024
Europe,30/6/2022,6978
Europe,31/1/2023,7118
Europe,30/6/2023,7118
Europe,31/1/2024,7118
Europe,30/6/2024,7118
Europe,31/1/2020,0
Europe,30/6/2020,9697
Europe,31/1/2021,21308
Europe,30/6/2021,25273
Europe,31/1/2022,29024
Europe,30/6/2022,31858
Europe,31/1/2023,33537
Europe,30/6/2023,34338
Europe,31/1/2024,34339
Europe,30/6/2024,34339
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,1
Asia,30/6/2021,1
Asia,31/1/2022,4
Asia,30/6/2022,21
Asia,31/1/2023,21
Asia,30/6/2023,21
Asia,31/1/2024,21
Asia,30/6/2024,21
Europe,31/1/2020,0
Europe,30/6/2020,180
Europe,31/1/2021,4696
Europe,30/6/2021,9638
Europe,31/1/2022,14345
Europe,30/6/2022,15799
Europe,31/1/2023,16268
Europe,30/6/2023,16350
Europe,31/1/2024,16382
Europe,30/6/2024,16388
Asia,31/1/2020,0
Asia,30/6/2020,3
Asia,31/1/2021,3
Asia,30/6/2021,3
Asia,31/1/2022,62
Asia,30/6/2022,102
Asia,31/1/2023,148
Asia,30/6/2023,161
Asia,31/1/2024,178
Asia,30/6/2024,178
Europe,31/1/2020,0
Europe,30/6/2020,216
Europe,31/1/2021,9028
Europe,30/6/2021,18027
Europe,31/1/2022,33121
Europe,30/6/2022,37246
Europe,31/1/2023,38120
Europe,30/6/2023,38366
Europe,31/1/2024,38681
Europe,30/6/2024,38700
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,540
Asia,31/1/2022,3015
Asia,30/6/2022,3056
Asia,31/1/2023,3056
Asia,30/6/2023,3056
Asia,31/1/2024,3056
Asia,30/6/2024,3056
Asia,31/1/2020,56
Asia,30/6/2020,4648
Asia,31/1/2021,4823
Asia,30/6/2021,5478
Asia,31/1/2022,5700
Asia,30/6/2022,20969
Asia,31/1/2023,69879
Asia,30/6/2023,121465
Asia,31/1/2024,121933
Asia,30/6/2024,122261
Europe,31/1/2020,0
Europe,30/6/2020,107
Europe,31/1/2021,4998
Europe,30/6/2021,8197
Europe,31/1/2022,13731
Europe,30/6/2022,16048
Europe,31/1/2023,17858
Europe,30/6/2023,18269
