region,country,date,total_vacinated
Asia,Bangladesh,1/6/2020,0
Asia,Bangladesh,1/12/2020,0
Asia,Bangladesh,1/1/2021,0
Asia,Bangladesh,1/6/2021,5823245
Asia,Bangladesh,1/12/2021,61614159
Asia,Bangladesh,1/1/2022,0
Asia,Bangladesh,1/6/2022,0
Asia,Bangladesh,1/12/2022,148052616
Asia,Bangladesh,1/6/2023,151341385
Asia,Bangladesh,1/12/2023,0
Asia,Bangladesh,1/1/2024,0
Asia,Bangladesh,1/6/2024,151507159
Europe,Belgium,1/6/2020,0
Europe,Belgium,1/12/2020,0
Europe,Belgium,1/1/2021,942
Europe,Belgium,1/6/2021,4820442
Europe,Belgium,1/12/2021,8884456
Europe,Belgium,1/1/2022,8939779
Europe,Belgium,1/6/2022,9245144
Europe,Belgium,1/12/2022,9258419
Europe,Belgium,1/6/2023,9261328
Europe,Belgium,1/12/2023,0
Europe,Belgium,1/1/2024,0
Europe,Belgium,1/6/2024,0
Europe,Croatia,1/6/2020,0
Europe,Croatia,1/12/2020,0
Europe,Croatia,1/1/2021,0
Europe,Croatia,1/6/2021,1293847
Europe,Croatia,1/12/2021,2193458
Europe,Croatia,1/1/2022,2259399
Europe,Croatia,1/6/2022,2314682
Europe,Croatia,1/12/2022,2320302
Europe,Croatia,1/6/2023,0
Europe,Croatia,1/12/2023,0
Europe,Croatia,1/1/2024,0
Europe,Croatia,1/6/2024,0
Europe,England,1/6/2020,0
Europe,England,1/12/2020,0
Europe,England,1/1/2021,0
Europe,England,1/6/2021,33085145
Europe,England,1/12/2021,42828996
Europe,England,1/1/2022,43516101
Europe,England,1/6/2022,44982753
Europe,England,1/12/2022,45362864
Europe,England,1/6/2023,0
Europe,England,1/12/2023,0
Europe,France,1/6/2020,0
Europe,France,1/12/2020,0
Europe,France,1/1/2021,3822
Europe,France,1/6/2021,26848592
Europe,France,1/12/2021,52515754
Europe,France,1/1/2022,53232031
Europe,France,1/6/2022,54497625
Europe,France,1/12/2022,54630364
Europe,France,1/6/2023,54675880
Europe,France,1/12/2023,0
Europe,France,1/1/2024,0
Europe,France,1/6/2024,0
Europe,Germany,1/6/2020,0
Europe,Germany,1/12/2020,0
Europe,Germany,1/1/2021,232650
Europe,Germany,1/6/2021,37062543
Europe,Germany,1/12/2021,60717936
Europe,Germany,1/1/2022,62758193
Europe,Germany,1/6/2022,64711111
Europe,Germany,1/12/2022,64855920
Europe,Germany,1/6/2023,0
Europe,Germany,1/12/2023,0
Europe,Germany,1/1/2024,0
Europe,Germany,1/6/2024,0
Europe,Greece,1/6/2020,0
Europe,Greece,1/12/2020,0
Europe,Greece,1/1/2021,2603
Europe,Greece,1/6/2021,3698975
Europe,Greece,1/12/2021,7063072
Europe,Greece,1/1/2022,7469558
Europe,Greece,1/6/2022,7915709
Europe,Greece,1/12/2022,7931482
Europe,Greece,1/6/2023,7935351
Europe,Greece,1/12/2023,7936833
Europe,Greece,1/1/2024,7937102
Europe,Greece,1/6/2024,0
Asia,Hong Kong,1/6/2020,0
Asia,Hong Kong,1/12/2020,0
Asia,Hong Kong,1/1/2021,0
Asia,Hong Kong,1/6/2021,1399304
Asia,Hong Kong,1/12/2021,4758084
Asia,Hong Kong,1/1/2022,4883400
Asia,Hong Kong,1/6/2022,6703767
Asia,Hong Kong,1/12/2022,6900523
Asia,Hong Kong,1/6/2023,6916158
Asia,Hong Kong,1/12/2023,6918188
Asia,Hong Kong,1/1/2024,0
Asia,Hong Kong,1/6/2024,0
Asia,India,1/6/2020,0
Asia,India,1/12/2020,0
Asia,India,1/1/2021,0
Asia,India,1/6/2021,169585180
Asia,India,1/12/2021,791626543
Asia,India,1/1/2022,846975771
Asia,India,1/6/2022,1011653553
Asia,India,1/12/2022,1027050053
Asia,India,1/6/2023,1027408326
Asia,India,1/12/2023,1027420096
Asia,India,1/1/2024,0
Asia,India,1/6/2024,1027438654
Europe,Ireland,1/6/2020,0
Europe,Ireland,1/12/2020,0
Europe,Ireland,1/1/2021,0
Europe,Ireland,1/6/2021,2139150
Europe,Ireland,1/12/2021,3912012
Europe,Ireland,1/1/2022,3936705
Europe,Ireland,1/6/2022,4097943
Europe,Ireland,1/12/2022,4107276
Europe,Ireland,1/6/2023,4110550
Europe,Ireland,1/12/2023,4111388
Europe,Ireland,1/1/2024,0
Europe,Ireland,1/6/2024,0
Europe,Italy,1/6/2020,0
Europe,Italy,1/12/2020,0
Europe,Italy,1/1/2021,51939
Europe,Italy,1/6/2021,24188698
Europe,Italy,1/12/2021,47394027
Europe,Italy,1/1/2022,48491861
Europe,Italy,1/6/2022,50869489
Europe,Italy,1/12/2022,50925375
Europe,Italy,1/6/2023,50936166
Europe,Italy,1/12/2023,0
Europe,Italy,1/1/2024,0
Europe,Italy,1/6/2024,0
Asia,Japan,1/6/2020,0
Asia,Japan,1/12/2020,0
Asia,Japan,1/1/2021,0
Asia,Japan,1/6/2021,13478960
Asia,Japan,1/12/2021,100824769
Asia,Japan,1/1/2022,101215847
Asia,Japan,1/6/2022,103629131
Asia,Japan,1/12/2022,104428894
Asia,Japan,1/6/2023,0
Asia,Japan,1/12/2023,0
Asia,Japan,1/1/2024,0
Asia,Japan,1/6/2024,0
Asia,Malaysia,1/6/2020,0
Asia,Malaysia,1/12/2020,0
Asia,Malaysia,1/1/2021,0
Asia,Malaysia,1/6/2021,2024806
Asia,Malaysia,1/12/2021,25930077
Asia,Malaysia,1/1/2022,26036603
Asia,Malaysia,1/6/2022,28041293
Asia,Malaysia,1/12/2022,28119127
Asia,Malaysia,1/6/2023,28135304
Asia,Malaysia,1/12/2023,28137303
Asia,Malaysia,1/1/2024,28137597
Asia,Malaysia,1/6/2024,28138217
Asia,Malaysia,14/8/2024,28138569
Europe,Poland,1/6/2020,0
Europe,Poland,1/12/2020,0
Europe,Poland,1/1/2021,0
Europe,Poland,1/6/2021,13896798
Europe,Poland,1/12/2021,20876315
Europe,Poland,1/1/2022,21674039
Europe,Poland,1/6/2022,22723093
Europe,Poland,1/12/2022,22828328
Europe,Poland,1/6/2023,22876078
Europe,Poland,1/12/2023,0
Europe,Poland,1/1/2024,0
Europe,Poland,1/6/2024,0
Asia,Singapore,1/6/2020,0
Asia,Singapore,1/12/2020,0
Asia,Singapore,1/1/2021,611
Asia,Singapore,1/6/2021,2279615
Asia,Singapore,1/12/2021,4820304
Asia,Singapore,1/1/2022,4859827
Asia,Singapore,1/6/2022,5120632
Asia,Singapore,1/12/2022,5151095
Asia,Singapore,1/6/2023,0
Asia,Singapore,1/12/2023,0
Asia,Singapore,1/1/2024,0
Asia,Singapore,1/6/2024,0
Asia,South Korea,1/6/2020,0
Asia,South Korea,1/12/2020,0
Asia,South Korea,1/1/2021,0
Asia,South Korea,1/6/2021,6291306
Asia,South Korea,1/12/2021,42381460
Asia,South Korea,1/1/2022,43963149
Asia,South Korea,1/6/2022,44708100
Asia,South Korea,1/12/2022,44762630
Asia,South Korea,1/6/2023,0
Asia,South Korea,1/12/2023,0
Asia,South Korea,1/1/2024,0
Asia,South Korea,1/6/2024,0
Europe,Switzerland,1/6/2020,0
Europe,Switzerland,1/12/2020,0
Europe,Switzerland,1/1/2021,6289
Europe,Switzerland,1/6/2021,3180412
Europe,Switzerland,1/12/2021,5862183
Europe,Switzerland,1/1/2022,5966508
Europe,Switzerland,1/6/2022,6084953
Europe,Switzerland,1/12/2022,6094844
Europe,Switzerland,1/6/2023,6096881
Europe,Switzerland,1/12/2023,0
Europe,Switzerland,1/1/2024,0
Europe,Switzerland,1/6/2024,0
Asia,Taiwan,1/6/2020,0
Asia,Taiwan,1/12/2020,0
Asia,Taiwan,1/1/2021,0
Asia,Taiwan,1/6/2021,0
Asia,Taiwan,1/12/2021,18272135
Asia,Taiwan,1/1/2022,0
Asia,Taiwan,1/6/2022,20703963
Asia,Taiwan,1/12/2022,21807355
